Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,67,5507,4515,552,8,941,3,51,255,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2,67,5507,4515,552,8,941,3,51,255,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD,15,2277,2097,1,0,180,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template,6,1373,1206,1,0,167,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\PageOne101,1,621,459,1,0,162,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay,5,752,747,0,0,5,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\OLD\template\neutralbay\neutralbay,5,752,747,0,0,5,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js,7,942,765,257,0,132,0,45,240,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3,6,934,757,257,0,132,0,45,240,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3,6,934,757,257,0,132,0,45,240,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples,6,934,757,257,0,132,0,45,240,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade,1,111,89,23,0,14,0,8,45,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide,1,100,78,19,0,14,0,8,45,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks,1,121,92,28,0,16,0,13,77,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple,1,213,176,59,0,29,0,8,35,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing,1,216,179,76,0,33,0,4,19,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard,1,173,143,52,0,26,0,4,19,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce,1,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce\js,1,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce\js\tinymce,1,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce\js\tinymce\plugins,1,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\tinymce\js\tinymce\plugins\example,1,8,8,0,0,0,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\menu_source,1,29,29,0,0,0,1,0,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure,15,918,576,162,8,336,1,6,13,0,0
