File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-fade\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\basic-slide\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\callbacks\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\multiple\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\playing\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard\index.html,@media(max-width: 767px),8,8,5,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard\index.html,@media(max-width: 480px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard\index.html,and(max-width: 979px),4,4,2,0,0,0,0,0,
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\js\Slides-SlidesJS-3\Slides-SlidesJS-3\examples\standard\index.html,@media(min-width: 1200px),4,4,2,0,0,0,0,0,
